연도,계약명,수행용역
2012,대전 대덕특 죽동지구 공동,Barrier Free
2012,대전 대덕특 죽동지구 공동,친환경건축물 인증
2012,대전 대덕특 죽동지구 공동,주택 성능등급인정
2013,대전 대덕특 죽동지구 공동,주택 성능등급인정
2012,경찰대학 지방이전,기술제안
2012,청진 역 제5지구 도시환경정비,친환경건축물 인증
2012,시흥 자 도시개발지구 시범,소음예측
2012,시흥 자 도시개발지구 시범,소음실측
2012,시흥 자 도시개발지구 시범,건축물 에너지효율등급
2012,시흥 자 도시개발지구 시범,"청정건강기준, 공동주택 성능등급"
2012,시흥 자 도시개발지구 시범,주택 성능등급인정
2012,시흥 자 도시개발지구 시범,친환경건축물 인증
2012,일산 백석 Y-,건축물 에너지효율등급
2012,목포 용해2지 -2 BBL공동,주택 성능등급인정
2012,목포 용해2지 -3 BBL공동,주택 성능등급인정
2012,구례 청사 별관 증축,건축물 에너지효율등급
2012,구례 청사 별관 증축,"에너지 시뮬레이션, 기계설비 성능점검"
2012,구례 청사 별관 증축,친환경건축물 인증
2012,부산국제금융,건축물 에너지효율등급
2012,부산국제금융,"에너지 시뮬레이션, 기계설비 성능점검"
2012,시흥 자지구 B7-,"일조, 조망"
2012,시흥 자지구 B7-,"경관, 토탈디자인 좋은빛 심의, 태양광"
2012,건축물 감정,연구용역
2012,위례 A2-11,기술제안
2012,인천서창 2지 13블럭 공동,주택 성능등급인정
2012,서울 강남 보금자리 범지구 A5-블록 공동,녹색건축 인증
2012,창원경상대학교병원,기술제안
2012,내곡지 1,친환경건축물 인증
2012,내곡지 1,건축물 에너지효율등급
2012,연대 신촌캠퍼스 백양로 재창조,친환경건축물 인증
2013,연대 신촌캠퍼스 백양로 재창조,"빛공해, 현휘, 조도 시뮬레이션"
2013,연대 신촌캠퍼스 백양로 재창조,CFD
2012,한국산업,건축물 에너지효율등급
2012,한국산업,친환경건축물 인증
2012,KT 세종로,친환경건축물 인증
2012,제일정형외과병원,건축물 에너지효율등급
2012,제일정형외과병원,서울시에너지소비총량제 (BESS)
2012,제일정형외과병원,친환경건축물 인증
2012,울산스포츠과학중고 교사,친환경건축물 인증
2013,동백라폴리움,결로
2013,평택 ○○지역 차량정비 설3,"LEED, BREEAM, GSAS"
2013,한국해양과학기술원 부산신청사,건축물 에너지효율등급
2013,한국해양과학기술원 부산신청사,Barrier Free
2013,한국해양과학기술원 부산신청사,지능형건축물 예비인증
2013,한국해양과학기술원 부산신청사,친환경건축물 인증
2013,가락시영,소음예측
2013,가락시영,소음실측
2013,가락시영,건축물 에너지효율등급
2013,가락시영,서울시에너지소비총량제 (BESS)
2013,가락시영,교육환경
2013,가락시영,"일조, 조망"
2013,가락시영,"청정건강기준, 공동주택 성능등급"
2013,가락시영,범죄예방환경설계 (CPTED) 디자인인증
2013,가락시영,친환경건축물 인증
2013,가락시영,주택 성능등급인정
2013,여수 엑스포 타운,소음실측
2013,여수 엑스포 타운,건축물 에너지효율등급
2013,김천 로제니아 호텔,친환경건축물 인증
2013,청진 17지 도시환경정비,건축물 에너지효율등급
2013,청진 17지 도시환경정비,건축물에너지소비총량제 (ECO2_OD)
2013,청진 17지 도시환경정비,서울시에너지소비총량제 (BESS)
2013,청진 17지 도시환경정비,친환경건축물 인증
2009,군자주공 4,"일조, 조망"
2013,군자주공 4,"일조, 조망"
2012,인천 남동구 인천논현힐스테이트,"일조, 조망"
2013,분당업무 설,결로
2013,전주 평화동 엠코타운,주택 성능등급인정
2013,엔씨소프트 판교 R&D,친환경건축물 인증
2013,창원현동지 A-1블럭 S-1블럭 공동,"청정건강기준, 공동주택 성능등급"
2012,한국형건축화를 위한 공공청사건축물의 통합적인,연구용역
2013,위례신도 C1-3블럭 주상복합,건축물 에너지효율등급
2013,위례신도 C1-3블럭 주상복합,서울시에너지소비총량제 (BESS)
2013,위례신도 C1-3블럭 주상복합,친환경건축물 인증
2013,위례신도 C1-3블럭 주상복합,주택 성능등급인정
2013,극지연 소 청사,친환경건축물 인증
2013,행정지원,기술제안
2013,원자력교육원 생활관,건축물 에너지효율등급
2013,원자력교육원 생활관,친환경건축물 인증
2013,아산 모종지구 도시개발,소음예측
2013,한국교직원공제회관,녹색건축 인증
2013,한국교직원공제회관,건축물 에너지효율등급
2013,한국교직원공제회관,건축물에너지소비총량제 (ECO2_OD)
2013,한국교직원공제회관,서울시에너지소비총량제 (BESS)
2013,한국교직원공제회관,지능형건축물 예비인증
2013,한국교직원공제회관,지능형건축물 본인증
2013,한국교직원공제회관,"LEED, BREEAM, GSAS"
2013,한국교직원공제회관,"에너지 시뮬레이션, 기계설비 성능점검"
2013,한국교직원공제회관,"TAB, 커미셔닝, ESG, 물리적실사 AA1000"
2013,주한미 기지이전,기술제안
2013,하남미사 제2초등학교 건축,친환경건축물 인증
2013,행복집짓기 성능,"에너지 시뮬레이션, 기계설비 성능점검"
2013,DI 통합 R&D,녹색건축 인증
2013,DI 통합 R&D,건축물 에너지효율등급
2013,광주야 경기장,친환경건축물 인증
2013,양산덕계 임대,소음예측
2013,강릉 아이스하키 -2 경기장,친환경건축물 인증
2013,공동주택 지하주차장,결로
2012,출입국 지원 설 ZS지역 지원,기술제안
2012,출입국 지원 설 ZS지역 지원,"LEED, BREEAM, GSAS"
2013,한국교직원공제회관,기술제안
2013,대전산업정보학교 교사,친환경건축물 인증
2013,현대건설 그린,"에너지 시뮬레이션, 기계설비 성능점검"
2013,대 이시아폴리스 주상복합,소음예측
2013,대 이시아폴리스 주상복합,"일조, 조망"
2013,위례신도 C1-3블럭 주상복합,소음예측
2013,위례신도 C1-3블럭 주상복합,에너지절약계획서
2013,삼성동빌딩,건축물 에너지효율등급
2013,부산국제금융,초고속 정보통신인증
2013,부산국제금융,지능형건축물 본인증
2013,부산국제금융,친환경건축물 인증
2012,주한미 기지이전,"LEED, BREEAM, GSAS"
2013,축산물품질,녹색건축 인증
2013,축산물품질,건축물 에너지효율등급
2013,용호만 주상복합,소음예측
2013,용호만 주상복합,연돌 시뮬레이션
2013,영종하늘도 제2공공도서관건축,녹색건축 인증
2013,계양 용종동 주상복합 건축,"경관, 토탈디자인 좋은빛 심의, 태양광"
2013,대 텍스타일 Com pBLex,지능형건축물 본인증
2013,대 텍스타일 Com pBLex,친환경건축물 인증
2014,대 텍스타일 Com pBLex,건축물 에너지효율등급
2013,대 텍스타일 Com pBLex,소음실측
2013,구제역백신,녹색건축 인증
2013,한국방송통신전파진흥원,건축물 에너지효율등급
2013,한국방송통신전파진흥원,친환경건축물 인증
2013,장유 3동 주민,에너지 효율등급평가
2013,보현산다목적댐,건축물 에너지효율등급
2013,포항 학산동,소음예측
2014,포항 학산동,소음예측
2013,연세대학교 백양로 재창조,CFD
2014,세종 2개 지역 근린생활,에너지 효율등급평가
2014,세종 3개 지역 근린생활,에너지 효율등급평가
2014,세종 1-1생활권 C2-7건축(그린4등급),녹색건축 인증
2014,세종 1-1생활권 C1-12근린생활,에너지 효율등급평가
2014,세종 2-2생활권 C R-5BL근린생활,에너지 효율등급평가
2014,세종 3-1생활권 C3-11근린생활,에너지 효율등급평가
2015,세종 2-2생활권 C R2-2근린생활,에너지 효율등급평가
2015,세종 3-3생활권 C14-15근린생활,에너지 효율등급평가
2013,한신18차,소음예측
2013,한신18차,소음실측
2013,한신18차,녹색건축 인증
2013,한신18차,건축물 에너지효율등급
2013,한신18차,서울시에너지소비총량제 (BESS)
2013,한신18차,교육환경
2013,한신18차,"빛공해, 현휘, 조도 시뮬레이션"
2013,한신18차,Barrier Free
2013,한신18차,지자체 가이드라인
2013,한신18차,"경관, 토탈디자인 좋은빛 심의, 태양광"
2013,한신18차,공가관리계획
2013,중산동 디아채2차 공동,소음예측
2014,중산동 디아채2차 공동,"일조, 조망"
2013,신촌자이엘라 소음예측,소음예측
2013,광주야 경기장 건립 (노후체육,Barrier Free
2013,동탄2신도 A101-블럭 군인공제회 회원,소음예측
2013,LUCID AVENUE,"일조, 조망"
2013,청진빌딩,소음예측
2013,청진빌딩,소음실측
2013,청진빌딩,에너지절약계획서
2013,청진빌딩,녹색건축 인증
2013,청진빌딩,건축물 에너지효율등급
2013,청진빌딩,서울시에너지소비총량제 (BESS)
2013,D-Towe rBLEED Certific...,"LEED, BREEAM, GSAS"
2015,대 금호지구 S-1,에너지절약계획서
2015,대 금호지구 S-1,녹색건축 인증
2015,대 금호지구 S-1,건축물 에너지효율등급
2015,대 금호지구 S-1,"청정건강기준, 공동주택 성능등급"
2015,대 금호지구 S-1,결로
2015,대 금호지구 S-1,건축물 등의 범죄예방기준
2013,대 경북과학기술원 ( B,녹색건축 인증
2013,대 경북과학기술원 ( B,건축물 에너지효율등급
2013,웅진스타클래스남산,"일조, 조망"
2013,KT 영등포지사,녹색건축 인증
2013,KT 영등포지사,건축물 에너지효율등급
2013,KT 영등포지사,건축물에너지소비총량제 (ECO2_OD)
2013,KT 영등포지사,서울시에너지소비총량제 (BESS)
2013,특공대 훈련 설,건축물 에너지효율등급
2013,마포 서교호텔,녹색건축 인증
2013,신재생,연구용역
2013,거제 문동동 공동,"청정건강기준, 공동주택 성능등급"
2013,(가칭)신호중학교,녹색건축 인증
2013,(가칭)신호중학교,건축물 에너지효율등급
2013,천안 성성3지 도시개발구역 공동,녹색건축 인증
2013,수도권 제2순환도로 화도 양평,기술제안
2013,용인 신동백롯데,"빛공해, 현휘, 조도 시뮬레이션"
2013,서강대,녹색건축 인증
2013,체육회관 장애인체육,Barrier Free
2013,체육회관 장애인체육,녹색건축 인증
2013,판교 산학연 R&D센타,기술제안
2013,판교 산학연 R&D센타,Barrier Free
2013,판교 산학연 R&D센타,패시브하우스 인증
2013,서울 남부 광역등기소,녹색건축 인증
2013,서울 남부 광역등기소,건축물에너지소비총량제 (ECO2_OD)
2013,서울 남부 광역등기소,서울시에너지소비총량제 (BESS)
2013,서울 남부 광역등기소,건축물 에너지효율등급
2013,연세대,녹색건축 인증
2013,현대건설 그린스마트빌딩,녹색건축 인증
2013,현대건설 그린스마트빌딩,"LEED, BREEAM, GSAS"
2013,현대건설 그린스마트빌딩,"에너지 시뮬레이션, 기계설비 성능점검"
2013,현대건설 그린스마트빌딩,"TAB, 커미셔닝, ESG, 물리적실사 AA1000"
2014,연세대,소음예측
2015,연세대,건물기밀성능
2013,창원현동지 B-2블럭 중흥 S-클래스 프라디움,소음예측
2013,아산배방지 오피스텔,소음예측
2013,아산배방지 오피스텔,건축물에너지소비총량제 (ECO2_OD)
2014,아산배방지 오피스텔( 3,소음예측
2014,아산배방지 오피스텔( 3,에너지절약계획서
2014,아산배방지 오피스텔( 3,건축물에너지소비총량제 (ECO2_OD)
2013,판교 산운 아펠바움 하자보수 현장 (지하...,결로
2013,동작1,소음예측
2013,동작1,소음실측
2013,동작1,녹색건축 인증
2013,동작1,건축물 에너지효율등급
2013,동작1,서울시에너지소비총량제 (BESS)
2013,동작1,"일조, 조망"
2013,동래중학교 교사개축,건축물 에너지효율등급
2013,전주 완산구 서신동 바구멀 1구역 재건축,"일조, 조망"
2013,울산 지방해양항만청 청사건축,녹색건축 인증
2013,울산 지방해양항만청 청사건축,건축물 에너지효율등급
2013,대 봉무초 한천초 2개교,녹색건축 인증
2013,LG사이언스파크 국내,소음예측
2013,LG사이언스파크 국내,녹색건축 인증
2013,LG사이언스파크 국내,건축물 에너지효율등급
2013,LG사이언스파크 국내,서울시에너지소비총량제 (BESS)
2013,LG사이언스파크 국내,"일조, 조망"
2013,LG사이언스파크 국내,CFD
2013,LG사이언스파크 국내,"LEED, BREEAM, GSAS"
2013,LG사이언스파크 국내,"에너지 시뮬레이션, 기계설비 성능점검"
2013,LG사이언스파크 국내,"TAB, 커미셔닝, ESG, 물리적실사 AA1000"
2013,㈜부평관광호텔,녹색건축 인증
2013,㈜부평관광호텔,건축물 에너지효율등급
2013,서울 동부지방검찰청사,녹색건축 인증
2013,서울 동부지방검찰청사,건축물 에너지효율등급
2013,서울 동부지방검찰청사,서울시에너지소비총량제 (BESS)
2013,천안 성성동 도 개발구역 공동,소음예측
2013,천안 성성동 도 개발구역 공동,"일조, 조망"
2013,천안 성성동 도 개발구역 공동,"청정건강기준, 공동주택 성능등급"
2013,현대자동차 중국 연태,"에너지 시뮬레이션, 기계설비 성능점검"
2013,의정부 민락2지 B1-,녹색건축 인증
2013,의정부 민락2지 B1-,건축물 에너지효율등급
2013,서대 세무서 청사,녹색건축 인증
2013,서대 세무서 청사,건축물 에너지효율등급
2013,서대 세무서 청사,건축물에너지소비총량제 (ECO2_OD)
2013,NEST 호텔,"일조, 조망"
2013,NEST 호텔,CFD
2013,충북 옥산 가락 옥산지역,소음예측
2013,충북 옥산 가락 옥산지역,녹색건축 인증
2013,충북 옥산 가락 옥산지역,"청정건강기준, 공동주택 성능등급"
2013,전통예술고등학교 전공실 특별교실 증축,녹색건축 인증
2013,전통예술고등학교 전공실 특별교실 증축,건축물 에너지효율등급
2013,한국환경공단 영남지역본부 청사 -건축 건...,녹색건축 인증
2013,한국환경공단 영남지역본부 청사 -건축 건...,건축물 에너지효율등급
2013,한국환경공단 영남지역본부 청사 -건축 건...,초고속 정보통신인증
2013,사랑의교회,"빛공해, 현휘, 조도 시뮬레이션"
2013,용인 포곡 삼성쉐르빌 세대창호결로,결로
2013,천안 신방통정지 A-4블럭,소음예측
2013,중화1재정비촉진 역,소음예측
2013,중화1재정비촉진 역,소음실측
2013,중화1재정비촉진 역,녹색건축 인증
2013,중화1재정비촉진 역,건축물 에너지효율등급
2013,중화1재정비촉진 역,서울시에너지소비총량제 (BESS)
2013,중화1재정비촉진 역,"경관, 토탈디자인 좋은빛 심의, 태양광"
2013,중화1재정비촉진 역,"청정건강기준, 공동주택 성능등급"
2013,중화1재정비촉진 역,장수명 주택인증
2013,중화1재정비촉진 역,건축물 등의 범죄예방기준
2013,중화1재정비촉진 역,공가관리계획
2013,중화1재정비촉진 역,Barrier Free
2014,중화1재정비촉진 역,결로
2014,중화1재정비촉진 역,수질오염 총량제
2014,중화1재정비촉진 역,"저영향개발 사전협의, 우수저감대책 (환경실사)"
2013,일산 Y-CITY,결로
2013,일산 Y-CITY,CFD
2013,일산 Y-CITY,진동 시뮬레이션
2013,목포경찰서 청사,녹색건축 인증
2013,목포경찰서 청사,건축물 에너지효율등급
2013,육 춘천관사 간부숙소 민간투자,건축물 에너지효율등급
2013,아산실내수영장,녹색건축 인증
2013,환경산업 실증,기술제안
2013,환경산업 실증,에너지절약계획서
2013,환경산업 실증,녹색건축 인증
2013,환경산업 실증,건축물 에너지효율등급
2013,명지지 A1-블럭 협성 휴포레,"청정건강기준, 공동주택 성능등급"
2013,주한미 사령부,"LEED, BREEAM, GSAS"
2013,남양소 파워트레인 체육,CFD
2013,하남미사 제1중학교,녹색건축 인증
2013,은평뉴타운 공공도서관,녹색건축 인증
2013,신용보증기금 대 신사옥건축외,녹색건축 인증
2013,신용보증기금 대 신사옥건축외,건축물 에너지효율등급
2013,신용보증기금 대 신사옥건축외,초고속 정보통신인증
2013,신용보증기금 대 신사옥건축외,지능형건축물 본인증
2013,행정지원,소음실측
2013,행정지원,녹색건축 인증
2013,행정지원,건축물 에너지효율등급
2013,행정지원,Barrier Free
2013,행정지원,패시브하우스 인증
2013,슬라이딩,Barrier Free
2013,울산 중사회복지관,녹색건축 인증
2013,세종 정부청사 2-2 구역,녹색건축 인증
2014,성수동1가 복합 설 건축물성능,건축물에너지소비총량제 (ECO2_OD)
2014,서부권 여성비전,녹색건축 인증
2014,서부권 여성비전,건축물 에너지효율등급
2014,서부권 여성비전,지능형건축물 예비인증
2014,성수동 1가 지식산업,"일조, 조망"
2014,화성동탄 2 제 4초등,녹색건축 인증
2014,인천공항세관 특송물류,녹색건축 인증
2014,인천공항세관 특송물류,건축물 에너지효율등급
2014,서초무지개,소음예측
2014,서초무지개,소음실측
2014,서초무지개,에너지절약계획서
2014,서초무지개,녹색건축 인증
2014,서초무지개,건축물 에너지효율등급
2014,서초무지개,서울시에너지소비총량제 (BESS)
2014,서초무지개,교육환경
2014,서초무지개,"일조, 조망"
2014,서초무지개,"빛공해, 현휘, 조도 시뮬레이션"
2014,서초무지개,"청정건강기준, 공동주택 성능등급"
2014,서초무지개,범죄예방환경설계 (CPTED) 디자인인증
2014,서초무지개,Barrier Free
2014,서초무지개,지자체 가이드라인
2014,공장 건축물 성능,연구용역
2014,한국콘텐츠진흥원 신사옥,녹색건축 인증
2014,한국콘텐츠진흥원 신사옥,건축물 에너지효율등급
2013,가변형 투명 물막이,CFD
2014,부산소방안험관건축등급,녹색건축 인증
2014,부산소방안험관건축등급,건축물 에너지효율등급
2014,햇빛병원,CFD
2014,햇빛병원,"에너지 시뮬레이션, 기계설비 성능점검"
2014,평택서재 공동,녹색건축 인증
2014,평택서재 공동,건축물 에너지효율등급
2014,청계천두산위브더제니스』,"일조, 조망"
2014,서울 중구 충무로 5가 36-24번지 오...,에너지절약계획서
2014,서울 중구 충무로 5가 36-24번지 오...,녹색건축 인증
2014,서울 중구 충무로 5가 36-24번지 오...,건축물 에너지효율등급
2014,서울 중구 충무로 5가 36-24번지 오...,건축물에너지소비총량제 (ECO2_OD)
2014,서울 중구 충무로 5가 36-24번지 오...,서울시에너지소비총량제 (BESS)
2014,송도 F6-2블럭,녹색건축 인증
2014,송도 F6-2블럭,건축물에너지소비총량제 (ECO2_OD)
2014,파르나스,"에너지 시뮬레이션, 기계설비 성능점검"
2014,㈜대우,녹색건축 인증
2014,DMC디지털큐브현장,녹색건축 인증
2014,평택복합화력 2단계,건축물 에너지효율등급
2013,국립국제교육원 청사,기술제안
2013,평택소사벌지 A-4블럭 공동,에너지절약계획서
2013,논산내동(2)지 A-1블럭 공동,에너지절약계획서
2019,개방형 B,BIM/BEMS
2014,신도림 디큐브,결로
2014,신도림 디큐브,CFD
2014,우진플라임 보은공장 이전 신축공동,소음예측
2014,구의중학교 그린스쿨,녹색건축 인증
2014,경산 신대부적지 아3-3블록 공동,소음예측
2014,위례지 A3-6,소음예측
2014,위례지 A3-6,건축물 에너지효율등급
2014,신고리 56호기 직원사택 -건축 건축물,에너지절약계획서
2014,신고리 56호기 직원사택 -건축 건축물,녹색건축 인증
2014,신고리 56호기 직원사택 -건축 건축물,건축물 에너지효율등급
2014,응암3,"일조, 조망"
2014,청진 역 제23지구 도시환경정비,"LEED, BREEAM, GSAS"
2014,청진 역 제23지구 도시환경정비,"에너지 시뮬레이션, 기계설비 성능점검"
2014,청진 역 제23지구 도시환경정비,"TAB, 커미셔닝, ESG, 물리적실사 AA1000"
2014,오산보안작전 설,"LEED, BREEAM, GSAS"
2014,독산동 부대특별,녹색건축 인증
2014,독산동 부대특별,건축물 에너지효율등급
2014,독산동 부대특별,진동 시뮬레이션
2014,독산동 부대특별,서울시에너지소비총량제 (BESS)
2014,독산동 부대특별,소음예측
2014,독산동 부대특별,소음실측
2014,독산동 부대특별,"청정건강기준, 공동주택 성능등급"
2014,경주 선교센타,에너지절약계획서
2014,천안 신부동 지역,소음예측
2014,오산 항공기 부식방지 설,"LEED, BREEAM, GSAS"
2014,NH 통합IT,기술제안
2014,산림약용자원,녹색건축 인증
2014,산림약용자원,건축물 에너지효율등급
2014,국립수산물품질관리원 청사,건축물 에너지효율등급
2014,평택 용죽지 A3-,소음예측
2014,행당지 주상복합,녹색건축 인증
2014,행당지 주상복합,건축물 에너지효율등급
2014,Goo g,"LEED, BREEAM, GSAS"
2011,경주 컨벤션,BIM/BEMS
2014,천안아산배방,소음예측
2014,제중/법현학사 건축물 등급,건축물 에너지효율등급
2014,한국서부발전본사사옥,녹색건축 인증
2014,한국서부발전본사사옥,건축물 에너지효율등급
2014,한국서부발전본사사옥,지능형건축물 본인증
2014,한국서부발전본사사옥,소음예측
2014,한국서부발전본사사옥,소음실측
2014,하이원 워터월드,기술제안
2014,남양주 다산진건지 B2-블럭 민간참여 공동,기술제안
2014,남양주 다산진건지 B2-,소음예측
2014,남양주 다산진건지 B2-,소음실측
2014,남양주 다산진건지 B2-,녹색건축 인증
2014,남양주 다산진건지 B2-,건축물 에너지효율등급
2014,남양주 다산진건지 B2-,"청정건강기준, 공동주택 성능등급"
2014,교보생명보험㈜ 전주사옥 리,녹색건축 인증
2014,교보생명보험㈜ 인천사옥 리,녹색건축 인증
2014,LID 기반의 그린인프라,연구용역
2014,문정지 3-1블럭 지식산업,녹색건축 인증
2014,문정지 3-1블럭 지식산업,건축물 에너지효율등급
2014,문정지 3-1블럭 지식산업,건축물에너지소비총량제 (ECO2_OD)
2014,문정지 3-1블럭 지식산업,서울시에너지소비총량제 (BESS)
2014,문정지 3-1블럭 지식산업,"일조, 조망"
2014,오산세교 2지 A-6블럭 공동,에너지절약계획서
2014,오산세교 2지 A-6블럭 공동,녹색건축 인증
2014,오산세교 2지 A-6블럭 공동,건축물 에너지효율등급
2014,건축등급,연구용역
2014,한국타이어 Centr a,기술제안
2014,은평 녹번 1-2,"일조, 조망"
2014,서울 인사동 관광호텔 - 서울시건축물,에너지절약계획서
2014,서울 인사동 관광호텔 - 서울시건축물,녹색건축 인증
2014,서울 인사동 관광호텔 - 서울시건축물,건축물 에너지효율등급
2014,구미국가산업,"경관, 토탈디자인 좋은빛 심의, 태양광"
2014,당산 오피스텔,결로
2014,천안 백석동 33번지 일원 공동,에너지절약계획서
2014,천안 백석동 33번지 일원 공동,"일조, 조망"
2014,한국교직원공제회관,CFD
2014,YRP 창고 견훈련소 기술제안,기술제안
2014,구례 청사 증축,건축물 에너지효율등급
2014,구례 청사 증축,녹색건축 인증
2014,칠곡 왜관읍 공동,"청정건강기준, 공동주택 성능등급"
2014,칠곡 왜관읍 공동,결로
2014,김천신청사등급,건축물 에너지효율등급
2014,한국도로 본사 신사옥,소음실측
2014,한국도로 본사 신사옥,녹색건축 인증
2014,부산 연산동2차 주상복합,에너지절약계획서
2014,부산 연산동2차 주상복합,건축물에너지소비총량제 (ECO2_OD)
2014,부산 연산동2차 주상복합,"일조, 조망"
2014,송도 D17-18블럭 공동,Barrier Free
2014,엠코 k-5,CFD
2014,삼성전자 상생협력 아카데미등급 1등급 달...,에너지 효율등급평가
2014,명동성당(교 청신관)건축,녹색건축 인증
2014,위례신도 A2-8블록 공동,소음예측
2014,위례신도 A2-8블록 공동,에너지절약계획서
2014,위례신도 A2-8블록 공동,"경관, 토탈디자인 좋은빛 심의, 태양광"
2014,위례신도 A2-8블록 공동,결로
2014,연돌효과,연돌 시뮬레이션
2014,구로동 440번지,"일조, 조망"
2014,상계6 역,"경관, 토탈디자인 좋은빛 심의, 태양광"
2014,상계6 역,"빛공해, 현휘, 조도 시뮬레이션"
2014,상계6 역,결로
2014,창원 진해구 안골지구,소음예측
2014,흑석3재정비촉진 역,"경관, 토탈디자인 좋은빛 심의, 태양광"
2014,흑석3재정비촉진 역,"빛공해, 현휘, 조도 시뮬레이션"
2014,복수동1 역,소음예측
2014,복수동1 역,소음실측
2014,복수동1 역,녹색건축 인증
2014,복수동1 역,건축물 에너지효율등급
2014,복수동1 역,교육환경
2014,복수동1 역,결로
2014,송파 IC개선,소음예측
2014,영종하늘도 제2공공도서관건축,녹색건축 인증
2014,영종하늘도 제2공공도서관 건축,소음실측
2014,한국전력기술㈜ 신사옥 현장,녹색건축 인증
2014,한국전력기술㈜ 신사옥 현장,건축물 에너지효율등급
2014,한국전력기술㈜ 신사옥 현장,지능형건축물 본인증
2014,서울 공릉 행복,소음예측
2014,서울 공릉 행복,녹색건축 인증
2014,서울 공릉 행복,건축물 에너지효율등급
2014,서울 공릉 행복,서울시에너지소비총량제 (BESS)
2014,사직아 아드 지역,"청정건강기준, 공동주택 성능등급"
2014,사직아 아드 지역,결로
2014,강남세브란스병원,녹색건축 인증
2014,강남세브란스병원,건축물 에너지효율등급
2014,홍은제1,소음예측
2014,홍은제1,소음실측
2014,홍은제1,녹색건축 인증
2014,홍은제1,건축물 에너지효율등급
2014,홍은제1,서울시에너지소비총량제 (BESS)
2014,홍은제1,교육환경
2014,홍은제1,"일조, 조망"
2014,홍은제1,"빛공해, 현휘, 조도 시뮬레이션"
2014,홍은제1,건축물 등의 범죄예방기준
2014,홍은제1,수질오염 총량제
2014,홍은제1,"저영향개발 사전협의, 우수저감대책 (환경실사)"
2014,학교법인 연세대학교 법인사무처 개축,녹색건축 인증
2014,학교법인 연세대학교 법인사무처 개축,건축물 에너지효율등급
2014,아산 탕정지 복합 1,"청정건강기준, 공동주택 성능등급"
2014,인천국제공항 제2여객터미널 기술제안,기술제안
2014,부산 장전역 서희스타힐스,소음예측
2014,부산장전3 재개발,"일조, 조망"
2014,서초우성3차 재건축,"일조, 조망"
2014,YRP 기지차량정비,"LEED, BREEAM, GSAS"
2014,YRP 기지차량정비,"에너지 시뮬레이션, 기계설비 성능점검"
2014,울산호계매곡지 1,녹색건축 인증
2014,울산호계매곡지 2,녹색건축 인증
2014,울산호계매곡지 1,"청정건강기준, 공동주택 성능등급"
2014,울산호계매곡지 2,"청정건강기준, 공동주택 성능등급"
2014,센트럴 티 증축 리,"빛공해, 현휘, 조도 시뮬레이션"
2014,선박안전기술공단 본부사옥,녹색건축 인증
2014,선박안전기술공단 본부사옥,건축물 에너지효율등급
2014,선박안전기술공단 본부사옥,Barrier Free
2014,선박안전기술공단 본부사옥,초고속 정보통신인증
2014,송도글로벌 대학캠퍼스 1단계 3공,기술제안
2014,용인 서천지 5블럭 공동,결로
2014,주한미 기지이전,"LEED, BREEAM, GSAS"
2014,코엑스몰 푸드코트(델라코트) 공조,CFD
2014,여의도동 45-1,녹색건축 인증
2014,여의도동 45-1,건축물 에너지효율등급
2014,여의도동 45-1,건축물에너지소비총량제 (ECO2_OD)
2014,여의도동 45-1,서울시에너지소비총량제 (BESS)
2014,광주 오포 문형지구,소음예측
2014,광주 오포 문형지구,소음실측
2014,광주 오포 문형지구,녹색건축 인증
2014,광주 오포 문형지구,"일조, 조망"
2014,광주 오포 문형지구,"청정건강기준, 공동주택 성능등급"
2014,광주 오포 문형지구,결로
2015,광주 오포 문형지구,건축물 에너지효율등급
2015,광주 오포 문형지구,소음예측
2014,광주 오포 문형지구,건축물 에너지효율등급
2014,부산 영화체험 박물관 임대형 민자,건축물 에너지효율등급
2014,구미 비산동 공동,소음예측
2014,구미 비산동 공동,에너지절약계획서
2014,구미 비산동 공동,"청정건강기준, 공동주택 성능등급"
2014,구미 비산동 공동,결로
2014,경산 지역,에너지절약계획서
2014,경산 지역,"청정건강기준, 공동주택 성능등급"
2014,경산 지역,결로
2014,생물안전특수복합 설건축,녹색건축 인증
2014,미사강변도 A21-,결로
2014,금천 롯데,"일조, 조망"
2014,금천 롯데,결로
2014,과천복합문화관광,기술제안
2014,서울 성동구 성수동1가 트리마제 신축으 ...,"일조, 조망"
2014,시흥목감 한신 휴플러스,소음예측
2014,시흥목감 한신 휴플러스,소음실측
2014,시흥목감 한신 휴플러스,"청정건강기준, 공동주택 성능등급"
2014,시흥목감 한신 휴플러스,결로
2014,LG사이언스파크2차 부지,녹색건축 인증
2014,LG사이언스파크2차 부지,건축물 에너지효율등급
2014,LG사이언스파크2차 부지,서울시에너지소비총량제 (BESS)
2014,평택 용죽,건축물 에너지효율등급
2014,마곡도 개발지구 13블럭 공동,에너지절약계획서
2014,마곡도 개발지구 13블럭 공동,"경관, 토탈디자인 좋은빛 심의, 태양광"
2014,광교 D3-복합 설 제도 기술,소음예측
2014,광교 D3-복합 설 제도 기술,소음실측
2014,광교 D3-복합 설 제도 기술,녹색건축 인증
2014,광교 D3-복합 설 제도 기술,건축물 에너지효율등급
2014,광교 D3-복합 설 제도 기술,건축물에너지소비총량제 (ECO2_OD)
2014,광교 D3-복합 설 제도 기술,"청정건강기준, 공동주택 성능등급"
2014,단계주공,소음예측
2014,단계주공,소음실측
