연도,계약명,수행용역
2007,완주 삼봉지 A-1BL공동,CFD
2007,정선-북면 국도개량,기술제안
2007,행정도 ·대전 유성 도로확장,기술제안
2007,아산방배지 11 B,기술제안
2007,인천 청라지 광명샤인빌,친환경건축물 인증
2007,인천 청라지 광명샤인빌,주택 성능등급인정
2007,육 연천병영,기술제안
2007,용인보라지 1 BBL연립,친환경건축물 인증
2007,IK Project,기술제안
2007,고양 일산덕이구역 도시개발 234블럭,친환경건축물 인증
2007,행정중심복합도 내 국도1호선 우회도로,기술제안
2007,호산고외 6교 임대형 민자,기술제안
2007,전라선 신풍 여천,기술제안
2007,인천 항동 복합숙박센타,기술제안
2007,육 인제 관사 병영,기술제안
2007,인천가정지 3블럭,CFD
2007,고양 일산덕이구역 도시개발 A1-블럭,건축물 에너지효율등급
2007,고양 일산덕이구역 도시개발 A1-블럭,친환경건축물 인증
2007,고양 일산덕이구역 도시개발 A5-블럭,건축물 에너지효율등급
2007,고양 일산덕이구역 도시개발 A5-블럭,친환경건축물 인증
2007,행복도 공동,기술제안
2007,청진동 5,친환경건축물 인증
2007,건축기술,연구용역
2007,중 을지로2가,친환경건축물 인증
2007,인천 청라지 A14-,친환경건축물 인증
2007,인천 청라지 A14-,주택 성능등급인정
2007,인천 청라지 A18-,친환경건축물 인증
2007,인천 청라지 A18-,주택 성능등급인정
2007,해운대 주공( A,기술제안
2007,청라지 17,기술제안
2007,묵동 자이,친환경건축물 인증
2007,하남 풍산,건축물 에너지효율등급
2007,대전노은(3)지 B-2 B-3 C-1BL공동,친환경건축물 인증
2007,전북지역본부,CFD
2007,서울 행당지 주상복합,CFD
2007,한남동 단국대부지,건축물 에너지효율등급
2007,한남동 단국대부지,친환경건축물 인증
2007,판교 SK케미칼 사옥,"LEED, BREEAM, GSAS"
2007,판교 SK케미칼 사옥,친환경건축물 인증
2007,서울 숲힐스테이트,"일조, 조망"
2007,행정중심복합도 공동,기술제안
2007,울산 힐스테이트 신축으 인접,"일조, 조망"
2007,용인 흥덕 우남퍼스트빌 리젠트현장,친환경건축물 인증
2007,포항 효자지 현대힐스테이트,주택 성능등급인정
2008,마포 합정동,친환경건축물 인증
2008,성남판교지 2,친환경건축물 인증
2008,은평뉴타운 1지 C공구 공동,친환경건축물 인증
2008,인천청라지 특수구조물,기술제안
2008,공 대방동관사 민간투자,건축물 에너지효율등급
2008,대룡산 체육공원 관리,"경관, 토탈디자인 좋은빛 심의, 태양광"
2008,하이원 리조트 호텔 증측 O,기술제안
2008,부평5 역,"일조, 조망"
2008,부천범박지 B-1,친환경건축물 인증
2008,반포주공3,"일조, 조망"
2008,주택성능등급표지제도 대응방안 수립,연구용역
2008,오산 계성제지부지 동양 파라곤 공동,기술제안
2008,은평뉴타운 1지 B공구,친환경건축물 인증
2008,광명역세권 택지개발지 복합,친환경건축물 인증
2008,광명역세권 택지개발지 복합,건축물 에너지효율등급
