연도,계약명,발주처,수행용역
2006,"성수동 000-00번지 상업건물 신축으로 인한 한잔타운아파트 101동의 일조, 조망, 프라이버시 환경영향 평가 및 일조권 확보를 위한 층수제한 고찰",한진타운아파트 환경권 피해대책위원회,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,첨단산단(2단계)진입도로 개설공사(1공구)대안설계 안개예측 시물레이션 및 위험도 분석,㈜용마엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,화성택지개발지구 2블록 우방아파트 친환경건축물 인증 용역,㈜우방,친환경건축물 예비인증
2006,판교지구 생활쓰레기 공기수집시스템건설공사 T/K기본설계용역 중 소음측정 및 확산모델링부문,㈜유신코퍼레이션,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,전주시관내 (용정-용진)건설공사 대안설계 일기영향분석,㈜한국해외기술공사,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,인주지방산업단지(1공구)서측진입도로(해안도로)건설공사기본설계(대안) (10) 도로 특화 설계,㈜삼안,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,하남 풍산 B-5블럭 에코타운 건설공사 친환경건축물 예비 및 본인증 취득 용역,현대산업개발㈜,친환경건축물 예비인증
2006,하남 풍산 B-5블럭 에코타운 건설공사 친환경건축물 예비 및 본인증 취득 용역,현대산업개발㈜,친환경건축물 본인증
2006,하남 풍산 C-1블럭 에코타운 건설공사 친환경건축물 예비 및 본인증 취득 용역,현대산업개발㈜,친환경건축물 예비인증
2006,하남 풍산 C-1블럭 에코타운 건설공사 친환경건축물 예비 및 본인증 취득 용역,현대산업개발㈜,친환경건축물 본인증
2006,웅동~장유 국도확장공사 대안설계 노선의 안정성 검토,㈜대정컨설턴트,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,"청담동 한양 재건축아파트의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜경일감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,"청담동 한양 재건축아파트의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜미래감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,김해 율하지구 우방유쉘아파트 친환경건축물 예비인증 용역,㈜우방,친환경건축물 예비인증
2006,경기도 가평군 경춘선 복선전철 제 5공구 건설공사로 인한 청평공고의 일조/조망/기류환경영향평가,㈜케이씨씨건설,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,청주 강서1지구 호반베르디움 친환경건축물 예비인증 취득 용역,호반건설산업㈜,친환경건축물 예비인증
2006,"광양시관내 국도대체우회도로(세풍-중군)건설공사 대안설계 직광, 결빙, 안개위험도 분석 용역",대림산업㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,"도곡주공2단지 재건축으로 인한 대치동 롯데캐슬리베의 일조,조망,프라이버시 환경영향 평가 및 광열비 증감량 산정 연구",대치동 진달래 아파트 재건축 조합,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,부산 정관지구 효성아파트 신축공사,㈜효성,친환경건축물 예비인증
2006,하남풍산 B-5 블록 에코타운,크레비즈인증원,친환경건축물 예비인증
2006,하남풍산 C-1 블록 에코타운,크레비즈인증원,친환경건축물 예비인증
2006,"도촌지구~공단도로간 도로개설 일괄입찰공사 설계안의 직광, 결빙, 안개위험도 및 주행안정성 분석 용역",㈜평화엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,은평뉴타운 2지구 C공구 친환경건축물 예비인증 용역,두산산업개발㈜,친환경건축물 예비인증
2006,은평뉴타운 2지구 B공구 친환경건축물 예비인증 용역,동부건설㈜,친환경건축물 예비인증
2006,부산정관지구 A-7블록 현진에버빌 친환경건축물예비인증 용역,㈜현진에버빌,친환경건축물 예비인증
2006,부산정관지구 A-9블록 현진에버빌 친환경건축물예비인증 용역,㈜현진에버빌,친환경건축물 예비인증
