연도,계약명,발주처,수행용역
2011,장위 제14구역 주택재개발정비사업 주거성능평가 및 환경성능시뮬레이션,장위 제14구역 주택재개발정비사업조합,친환경건축물 본인증
2011,장위 제14구역 주택재개발정비사업 주거성능평가 및 환경성능시뮬레이션,장위 제14구역 주택재개발정비사업조합,주택 성능등급인정
2011,묵1주택재건축정비사업 공동주택 신축공사 교육환경보호에 관한 계획서 작성 및 건축물 에너지소비총량제 평가 용역,묵1주택재건축정비사업조합,서울시에너지소비총량제 (BESS)
2011,묵1주택재건축정비사업 공동주택 신축공사 교육환경보호에 관한 계획서 작성 및 건축물 에너지소비총량제 평가 용역,묵1주택재건축정비사업조합,교육환경
2011,광주 수완지구 C3-2BL 호반베르디움 신축공사 주택성능등급인정 (에너지성능) 컨설팅 및 취득 대행 용역,㈜호반리빙,주택 성능등급인정
2011,만도중앙연구소 신축설계,㈜정림건축종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2010,서울강남보금자리지구 A2블록 기술제안입찰 제안서 작성 용역,㈜원양건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,노원구 공릉동 주상복합 신축공사 친환경 관련 컨설팅 및 인증 취득용역,㈜종합건축사사무소건원,건축물 에너지효율등급 예비인증
2011,노원구 공릉동 주상복합 신축공사 친환경 관련 컨설팅 및 인증 취득용역,㈜종합건축사사무소건원,건축물 에너지효율등급 본인증
2011,노원구 공릉동 주상복합 신축공사 친환경 관련 컨설팅 및 인증 취득용역,㈜종합건축사사무소건원,친환경건축물 예비인증
2011,노원구 공릉동 주상복합 신축공사 친환경 관련 컨설팅 및 인증 취득용역,㈜종합건축사사무소건원,친환경건축물 본인증
2011,농촌진흥청 지방이전사업 (2공구) TK 실시,㈜삼우종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,KINTEX 제2전시장 건립공사 설계.시공 일괄입찰 기본 및 실시설계 용역 - 휘도분석,㈜무영종합건축사사무소,"빛공해, 현휘, 조도 시뮬레이션"
2011,KINTEX 제2전시장 건립공사 설계.시공 일괄입찰 기본 및 실시설계 용역 - 휘도분석,㈜희림종합건축사사무소,"빛공해, 현휘, 조도 시뮬레이션"
2011,KINTEX 제2전시장 건립공사 설계.시공 일괄입찰 기본 및 실시설계 용역 - 휘도분석,㈜동주건축사사무소,"빛공해, 현휘, 조도 시뮬레이션"
2011,KINTEX 제2전시장 건립공사 설계.시공 일괄입찰 기본 및 실시설계 용역 - 휘도분석,㈜명인건축사사무소,"빛공해, 현휘, 조도 시뮬레이션"
2011,남양주지금(통합)하수종말처리시설건설공사 TK 기본설계 ,㈜도화엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,행정도시 ~ 대덕테크노밸리 도로건설공사(2구간) 기본설계용역 - 기후영향 분석 및 주행안전성 평가 분야,㈜용마엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,김제 신풍동 공동주택 신축공사 친환경주택건설기준 확보를 위한 평가서 작성 용역,삼호종합건축사사무소 (거봉건설),
2011,안양광역등기소 신축공사 설계용역 (에너지효율인증),㈜한기엔지니어링건축사사무소,건축물 에너지효율등급 예비인증
2011,화순군 농어촌 뉴타운 조성공사 친환경인증,㈜토문엔지니어링건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,화순군 농어촌 뉴타운 조성공사 친환경인증,㈜삼진건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,화순군 농어촌 뉴타운 조성공사 친환경인증,㈜나우엔지니어링건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,포항교육지원청사 이전 신축공사 친환경 및 에너지효율등급 예비인증 취득용역,㈜원양건축사사무소,건축물 에너지효율등급 예비인증
2011,포항교육지원청사 이전 신축공사 친환경 및 에너지효율등급 예비인증 취득용역,㈜원양건축사사무소,친환경건축물 예비인증
2011,"초량1-1구역 도시환경정비사업 - 주택성능등급인정(에너지), 친환경주택 건설기분(그린홈) 및 학교주변 일조환경 분석/평가 용역",건축사사무소 동문건축㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2011,"초량1-1구역 도시환경정비사업 - 주택성능등급인정(에너지), 친환경주택 건설기분(그린홈) 및 학교주변 일조환경 분석/평가 용역",건축사사무소 동문건축㈜,주택 성능등급인정
2011,하남시 환경기초시설 현대화 및 공원조성사업 TK 기본설계용역(공조 및 기류해석),㈜제일엔지니어링종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2011,광교지구 C1블럭 주상복합 신축공사 - 주거성능평가 및 인증 취득 용역,베르디움개발㈜,건축물 에너지효율등급 예비인증
2011,광교지구 C1블럭 주상복합 신축공사 - 주거성능평가 및 인증 취득 용역,베르디움개발㈜,건축물 에너지효율등급 본인증
2011,광교지구 C1블럭 주상복합 신축공사 - 주거성능평가 및 인증 취득 용역,베르디움개발㈜,주택 성능등급인정
2011,상계동 보금자리 주택 신축공사 설계용역,㈜신한종합건축사사무소,건축물 에너지효율등급 예비인증
2011,상계동 보금자리 주택 신축공사 설계용역,㈜신한종합건축사사무소,서울시에너지소비총량제 (BESS)
2011,상계동 보금자리 주택 신축공사 설계용역,㈜신한종합건축사사무소,친환경건축물 예비인증
2011,상계동 보금자리 주택 신축공사 설계용역,㈜신한종합건축사사무소,주택 성능등급인정
2011,광주야구경기장 건립공사 설계.시공 일괄입찰 TK,㈜공간종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,인천국제공항 제2여객터미널 설계공모,㈜엄앤드이종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,두산 인프라코어 설계경기,㈜간삼건축종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,송도 5공구 2단지(RC-2) 아파트 건설공사 설계시공 일괄입찰 기본설계 용역,㈜디에이그룹엔지니어링종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜희림종합건축사사무소,소음예측
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜희림종합건축사사무소,건축물 에너지효율등급 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜희림종합건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜희림종합건축사사무소,친환경건축물 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜간삼건축종합건축사사무소,소음예측
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜간삼건축종합건축사사무소,건축물 에너지효율등급 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜간삼건축종합건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜간삼건축종합건축사사무소,친환경건축물 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜디엔비건축사사무소,소음예측
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜디엔비건축사사무소,건축물 에너지효율등급 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜디엔비건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜디엔비건축사사무소,친환경건축물 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜현대종합설계건축사사무소,소음예측
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜현대종합설계건축사사무소,건축물 에너지효율등급 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜현대종합설계건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜현대종합설계건축사사무소,친환경건축물 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜건축사사무소유앤피,소음예측
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜건축사사무소유앤피,건축물 에너지효율등급 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜건축사사무소유앤피,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜건축사사무소유앤피,친환경건축물 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜위드종합건축사사무소,소음예측
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜위드종합건축사사무소,건축물 에너지효율등급 예비인증
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜위드종합건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대구경북과학기술원 학위과정시설 임대형민자사업 용역 실시설계,㈜위드종합건축사사무소,친환경건축물 예비인증
2011,광교택지개발지구 M2BL 업무7 업무시설 신축공사 열섬현상분석 및 에너지소비총량제평가 용역,㈜종합건축사사무소송현,건축물에너지소비총량제 (ECO2_OD)
2011,광교택지개발지구 M2BL 업무7 업무시설 신축공사 열섬현상분석 및 에너지소비총량제평가 용역,㈜종합건축사사무소송현,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2011,무역센터 전시컨벤션센터 에너지 성능평가 용역 (LEED 기준),㈜코엑스,"에너지 시뮬레이션, 기계설비 성능점검"
2011,"청진 2,3지구 도시환경정비사업 업무시설 신축공사 ASHRAE Appendix G에 의한 에너지리모델링 및 분석 용역",청진이삼프로젝트㈜ (대림산업),"에너지 시뮬레이션, 기계설비 성능점검"
2011,충청남도 행정중심복합도시 공동주택 신축공사,극동건설㈜,건축물 에너지효율등급 예비인증
2011,충청남도 행정중심복합도시 공동주택 신축공사,극동건설㈜,건축물 에너지효율등급 본인증
2011,충청남도 행정중심복합도시 공동주택 신축공사,극동건설㈜,친환경건축물 예비인증
2011,충청남도 행정중심복합도시 공동주택 신축공사,극동건설㈜,친환경건축물 본인증
2011,충청남도 행정중심복합도시 공동주택 신축공사,극동건설㈜,주택 성능등급인정
2011,"신고리3,4호기직원사택신축공사 친환경건축물 및 건물에너지효율등급인증 용역",㈜태영건설,건축물 에너지효율등급 예비인증
2011,"신고리3,4호기직원사택신축공사 친환경건축물 및 건물에너지효율등급인증 용역",㈜태영건설,건축물 에너지효율등급 본인증
2011,"신고리3,4호기직원사택신축공사 친환경건축물 및 건물에너지효율등급인증 용역",㈜태영건설,친환경건축물 예비인증
2011,"신고리3,4호기직원사택신축공사 친환경건축물 및 건물에너지효율등급인증 용역",㈜태영건설,친환경건축물 본인증
2011,고양삼송 A23블럭 군관사 친환경성능평가서 작성 용역,한국토지주택공사 고양사업본부,
2011,대구 텍스타일 Complex 건립공사 TK 기본설계 용역,㈜종합건축사사무소건원,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,대현동 도시형생활주택 오피스텔 신축공사,㈜아키플랜종합건축사사무소,친환경건축물 예비인증
2011,대현동 도시형생활주택 오피스텔 신축공사,㈜아키플랜종합건축사사무소,친환경건축물 본인증
2018,개방형 BEMS 지원을 위한 BIM 품질 검토 및 장치 연계 모듈,한국건설기술연구원,BIM/BEMS
2017,개방형 BEMS 지원을 위한 BIM기반 데이터 모니터링 및 MVD 연계 모듈 시작품 용역,한국건설기술연구원,"에너지 시뮬레이션, 기계설비 성능점검"
2011,한국식품연구원 신청사 건축 설계용역,㈜해안종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,"아산 용화지구 A1블록 엘크루 신축공사 주택성능등급인정(에너지성능), 친환경주택건설기준 평가(그린홈) 및 소음환경 예측평가 용역",대우조선해양건설㈜,소음예측
2011,"아산 용화지구 A1블록 엘크루 신축공사 주택성능등급인정(에너지성능), 친환경주택건설기준 평가(그린홈) 및 소음환경 예측평가 용역",대우조선해양건설㈜,주택 성능등급인정
2011,"전북 전주, 완주 혁신도시 B-11블럭 공동주택 신축공사 주택성능등급인정 컨설팅 및 취득 용역",㈜죽헌개발 (호반건설),주택 성능등급인정
2011,연합뉴스 사옥 재건축 친환경 LCC 기술제안서 작성 용역,지에스건설㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,마포 합정4구역 도시환경정비사업 친환경건축물 본인증 컨설팅 및 취득 용역,㈜아우름디앤씨,친환경건축물 본인증
2011,삼성엔지니어링 신사옥 건설 PJT 에너지효율 본인증 컨설팅,삼성엔지니어링㈜,건축물 에너지효율등급 본인증
2011,경남마리나아파트 현휘 영향 및 그에 따른 냉 · 난방비 증감 분석,현대산업개발㈜,"빛공해, 현휘, 조도 시뮬레이션"
2011,JW Marriott Seoul Dongdaemun Plaza 신축공사 친환경건축물인증 컨설팅 및 취득 용역,㈜써스테라-(계약타절 동승과 재계약),
2011,JW Marriott Seoul Dongdaemun Plaza 신축공사 LEED Consulting & Certification 용역,㈜써스테라-(계약타절 동승과 재계약),
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,건축물 에너지효율등급 예비인증
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,건축물 에너지효율등급 본인증
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,"LEED, BREEAM, GSAS"
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,"에너지 시뮬레이션, 기계설비 성능점검"
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,"TAB, 커미셔닝, ESG, 물리적실사 AA1000"
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,친환경건축물 예비인증
2011,대치동 신사옥 친환경 컨설팅 용역구매,에스케이네트웍스㈜,친환경건축물 본인증
2011,코엑스몰 리모델링 MD 및 설계 용역 ,㈜정림건축종합건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,한국전기안전공사 신사옥 건립 설계용역,㈜무영종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,서울강동경찰서 청사 이전 및 신축공사,㈜간삼건축종합건축사사무소,소음예측
2011,서울강동경찰서 청사 이전 및 신축공사,㈜간삼건축종합건축사사무소,건축물 에너지효율등급 예비인증
2011,서울강동경찰서 청사 이전 및 신축공사,㈜간삼건축종합건축사사무소,친환경건축물 예비인증
2011,"대성산업 신도림부지 설계 - 연돌현상관련 현장조사, 측정, 시뮬레이션, 개선안 도출(비주거)",㈜삼우종합건축사사무소,연돌 시뮬레이션
2011,현대건설 연구동 최적화 설계를 위한 에너지 성능평가,현대건설㈜,"에너지 시뮬레이션, 기계설비 성능점검"
2011,아산 용화지구 I'PARK 친환경주택성능(그린홈) 평가 대행 용역,현대산업개발㈜,
2011,안산신길 B5-BL 친환경건축물 인증 대행 용역,현대산업개발㈜,친환경건축물 예비인증
2011,안산신길 B5-BL 친환경건축물 인증 대행 용역,현대산업개발㈜,친환경건축물 본인증
2011,안산신길 B5-BL 건물에너지 효율등급 인증 대행 용역,현대산업개발㈜,건축물 에너지효율등급 예비인증
2011,안산신길 B5-BL 건물에너지 효율등급 인증 대행 용역,현대산업개발㈜,건축물 에너지효율등급 본인증
2011,안산신길 B5-BL 주택성능등급 인정 대행 용역,현대산업개발㈜,주택 성능등급인정
2011,평택 안정리 아파트 신축공사 설계용역 ,㈜건축사사무소유에이디,"경관, 토탈디자인 좋은빛 심의, 태양광"
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,소음예측
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,소음실측
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,건축물 에너지효율등급 예비인증
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,건축물 에너지효율등급 본인증
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,"청정건강기준, 공동주택 성능등급"
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,장애물없는 생활환경(Barrier Free) 예비인증
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,장애물없는 생활환경(Barrier Free) 본인증
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,친환경건축물 예비인증
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,친환경건축물 본인증
2011,광주 첨단과학산업단지 2단계 A-1블럭 아파트 신축공사,덕명디앤씨㈜,주택 성능등급인정
2011,한국전력공사 본사 신사옥 기술제안입찰,㈜시아플랜건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,원가절감을 위한 에너지친환경 인증제별 설계지침수립 연구과제,㈜포스코건설,연구용역
2011,"양평제12구역 도시환경정비사업 종후아파트의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜대한감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2011,"양평제12구역 도시환경정비사업 종후아파트의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜미래새한감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2011,부산 용호만 복합시설 신축공사 친환경건축물인증 컨설팅 및 취득 용역 (주거부문),아이에스동서㈜,친환경건축물 예비인증
2011,부산 용호만 복합시설 신축공사 친환경건축물인증 컨설팅 및 취득 용역 (주거부문),아이에스동서㈜,친환경건축물 본인증
2011,부산 용호만 복합시설 신축공사 건물에너지효율등급인증 컨설팅 및 취득 용역 (주거부문),아이에스동서㈜,건축물 에너지효율등급 예비인증
2011,부산 용호만 복합시설 신축공사 건물에너지효율등급인증 컨설팅 및 취득 용역 (주거부문),아이에스동서㈜,건축물 에너지효율등급 본인증
2011,부산 용호만 복합시설 신축공사 청정건강주택건설기준 평가 용역 (주거부문),아이에스동서㈜,"청정건강기준, 공동주택 성능등급"
2011,부산 용호만 복합시설 신축공사 주택성능등급인정 컨설팅 및 취득 용역 (주거부문),아이에스동서㈜,
2012,부산 용호만 복합시설 신축공사 상가 몰 기류환경(CFD) 분석 용역,아이에스동서㈜,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2011,이천시 마장공공하수도 설치사업 기본설계 T/K 용역 중 저탄소 녹색성장,㈜웨텍,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,대구대곡2지구 SBL 공동주택 계획·기본·실시설계용역 ,㈜신한종합건축사사무소,"청정건강기준, 공동주택 성능등급"
2011,대구대곡2지구 SBL 공동주택 계획·기본·실시설계용역 ,㈜진영건축사사무소,"청정건강기준, 공동주택 성능등급"
2011,서울양원지구 A1블록 공동주택 계획·기본·실시설계용역 ,㈜신한종합건축사사무소,
2011,창원현동지구 A-1BL 공동주택 계획·기본·실시설계용역 ,㈜신한종합건축사사무소,"청정건강기준, 공동주택 성능등급"
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,소음예측
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,건축물 에너지효율등급 예비인증
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,건축물 에너지효율등급 본인증
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,교육환경
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,친환경건축물 예비인증
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,친환경건축물 본인증
2012,장안 111-4구역 주택재개발정비사업 주거성능평가(인증/인정) 및 환경성능시뮬레이션용역,장안 111-4구역 주택재개발정비사업조합,주택 성능등급인정
2012,광주야구경기장 건립공사 설계.시공 일괄입찰 실시 설계용역,㈜공간종합건축사사무소,친환경건축물 예비인증
2011,행정중심복합도시 집단에너지시설 설계용역,㈜종합건축사사무소에이치앤티,친환경건축물 예비인증
2011,행정중심복합도시 집단에너지시설 설계용역,㈜종합건축사사무소에이치앤티,친환경건축물 본인증
2012,시흥군자 도시개발사업지구 PF,㈜종합건축사사무소건원,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2012,노키아 베트남 Loong Project / LEED / LCC (상세단계),㈜포스코엔지니어링,"LEED, BREEAM, GSAS"
2012,노키아 베트남 Loong Project / LEED / LCC (상세단계),㈜포스코엔지니어링,"에너지 시뮬레이션, 기계설비 성능점검"
2012,노키아 베트남 Loong Project / LEED / LCC (상세단계),㈜포스코엔지니어링,"TAB, 커미셔닝, ESG, 물리적실사 AA1000"
2010,충남도청 이전신도시 하수처리시설 건설공사 TK(실시),㈜에스빠스종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2011,송도 D24블럭 주상복합 설계용역 - LEED인증,㈜디에이그룹엔지니어링종합건축사사무소,"LEED, BREEAM, GSAS"
2011,송도 D24블럭 주상복합 설계용역 - LEED인증,㈜디에이그룹엔지니어링종합건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2011,송도 D24블럭 주상복합 설계용역 - 친환경건축물인증 등,㈜디에이그룹엔지니어링종합건축사사무소,소음예측
2011,송도 D24블럭 주상복합 설계용역 - 친환경건축물인증 등,㈜디에이그룹엔지니어링종합건축사사무소,건축물 에너지효율등급 예비인증
2011,송도 D24블럭 주상복합 설계용역 - 친환경건축물인증 등,㈜디에이그룹엔지니어링종합건축사사무소,친환경건축물 예비인증
2011,송도 D24블럭 주상복합 설계용역 - 친환경건축물인증 등,㈜디에이그룹엔지니어링종합건축사사무소,주택 성능등급인정
2011,송도 D24블럭 주상복합 설계용역 - 경관계획,㈜디에이그룹엔지니어링종합건축사사무소,"경관, 토탈디자인 좋은빛 심의, 태양광"
2011,송도 D24블럭 주상복합 설계용역 - 연돌현상분석,㈜디에이그룹엔지니어링종합건축사사무소,연돌 시뮬레이션
2012,교보생명보험㈜ 지방사옥(7개) 리모델링공사 설계용역,㈜정림건축종합건축사사무소,연돌 시뮬레이션
2012,교보생명보험㈜ 지방사옥(7개) 리모델링공사 설계용역,㈜정림건축종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2012,교보생명보험㈜ 지방사옥(7개) 리모델링공사 설계용역,㈜정림건축종합건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2012,교보생명보험㈜ 지방사옥(7개) 리모델링공사 설계용역,㈜정림건축종합건축사사무소,친환경건축물 예비인증
2012,"울산 범서 굴화지구 푸르지오아파트 신축계획(안) 친환경주택건설기준(그린홈)평가, 소음환경 예측평가 및 외부일조환경 평가 용역 (2012.4월 추가용역 세대별일조, 그린홈 재평가)",㈜아키어반종합건축사사무소,소음예측
2012,"울산 범서 굴화지구 푸르지오아파트 신축계획(안) 친환경주택건설기준(그린홈)평가, 소음환경 예측평가 및 외부일조환경 평가 용역 (2012.4월 추가용역 세대별일조, 그린홈 재평가)",㈜아키어반종합건축사사무소,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2012,부산 연제구 연산동 공동주택 신축공사 친환경주택건설기준 평가 (그린홈) 및 주택성능등급인정(에너지) 취득 용역,㈜팀엔지니어링건축사사무소,주택 성능등급인정
2012,오산 36FS 작전시설 본공사 - LEED Consulting & Documentation 용역,대보건설㈜,"LEED, BREEAM, GSAS"
2012,부산대학교병원 외상전문센터 설계변경 및 호흡기전문질디부터 증축공사 설계용역,㈜일신설계종합건축사사무소 ,
2012,청진 12-16지구 도시환경정비사업 심의용 에너지보고서작성 및 대관업무,㈜예촌건축건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2012,청진 12-16지구 도시환경정비사업 심의용 에너지보고서작성 및 대관업무,㈜한원포럼건축사사무소,"에너지 시뮬레이션, 기계설비 성능점검"
2012,한국콘텐츠진흥원 지방이전 신사옥 건립공사 설계용역,㈜원양건축사사무소,건축물 에너지효율등급 예비인증
2012,한국콘텐츠진흥원 지방이전 신사옥 건립공사 설계용역,㈜원양건축사사무소,친환경건축물 예비인증
2012,한국콘텐츠진흥원 지방이전 신사옥 건립공사 설계용역,㈜디에이그룹엔지니어링종합건축사사무소,건축물 에너지효율등급 예비인증
2012,한국콘텐츠진흥원 지방이전 신사옥 건립공사 설계용역,㈜디에이그룹엔지니어링종합건축사사무소,친환경건축물 예비인증
2012,충북혁신지구 B-2블럭 계획 ·기본·실시설계용역,㈜해안종합건축사사무소,소음예측
2012,충북혁신지구 B-2블럭 계획 ·기본·실시설계용역,㈜해안종합건축사사무소,에너지절약계획서
2012,충북혁신지구 B-2블럭 계획 ·기본·실시설계용역,㈜해안종합건축사사무소,"청정건강기준, 공동주택 성능등급"
2012,한국산업기술평가관리원 지방이전사업 설계용역 (에너지효율 1등급 및 친환경 건축물 예비인증 취득),㈜간삼건축종합건축사사무소,건축물 에너지효율등급 예비인증
2012,한국산업기술평가관리원 지방이전사업 설계용역 (에너지효율 1등급 및 친환경 건축물 예비인증 취득),㈜간삼건축종합건축사사무소,친환경건축물 예비인증
2012,울산 굴화(장검)지구 1B 1-11L 외 1필지 공동주택 주택건설사업 주택성능등급인정 컨설팅 및 취득용역,㈜달성씨앤씨,주택 성능등급인정
2012,정부출연 연구기관 세종시 임차청사 위탁개발,㈜해안종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2012,정부출연 연구기관 세종시 임차청사 위탁개발,㈜공간종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2012,광교 6블럭 공동주택부지 환경성능평가 용역,㈜라데빵스,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2012,광교 6블럭 공동주택부지 환경성능평가 용역,㈜라데빵스,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2012,서울 동남권 물류단지 PF사업 설계용역 및 단지지정 및 실시계획변경 용역,㈜무영종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2012,서울 동남권 물류단지 PF사업 설계용역 및 단지지정 및 실시계획변경 용역,에이앤유디자인그룹건축사사무소㈜,
2012,서울 동남권 물류단지 PF사업 설계용역 및 단지지정 및 실시계획변경 용역,㈜엄앤드이종합건축사사무소,
2012,서울 동남권 물류단지 PF사업 설계용역 및 단지지정 및 실시계획변경 용역,㈜진아건축도시종합건축사사무소,
2012,서울 동남권 물류단지 PF사업 설계용역 및 단지지정 및 실시계획변경 용역,㈜시아플랜건축사사무소,
2012,서울 동남권 물류단지 PF사업 설계용역 및 단지지정 및 실시계획변경 용역,㈜현대종합설계건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2012,현대기아차 마북연구소 중축공사 친환경건축물 본인증 컨설팅 및 취득용역,현대엠코㈜,친환경건축물 본인증
2012,청주 테크노폴리스 진입도로 건설공사 대안설계용역 (안개/일영/도로안전성분석),㈜석탑엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
